,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
431,Wadi Maliz,TN,36.47,8.55,65.59,93,40,2.24
432,Paraíso,CR,9.84,-83.87,64.99,65,96,1.7
433,Ardrossan,GB,55.65,-4.81,39.06,80,20,6.93
434,Lorengau,PG,-2.02,147.27,84.24,71,8,0.85
435,Bubaque,GW,11.28,-15.83,78.33,54,91,11.77
436,Poronaysk,RU,49.22,143.12,35.06,87,70,9.48
437,Sindor,RU,62.86,51.89,37.96,85,100,3.31
438,Valle d'Aosta,IT,45.77,7.42,46.49,65,80,1.03
439,Tutóia,BR,-2.76,-42.27,77.65,83,87,0.36
440,San Martín,AR,-33.08,-68.47,60.8,67,12,3.4
441,The Pas,CA,53.83,-101.25,17.6,61,90,5.82
442,Basco,PH,20.45,121.97,80.26,87,63,12.3
443,Varangaon,IN,21.02,75.9,101.84,15,79,7.78
444,Magadan,RU,59.57,150.8,16.14,83,64,8.39
445,Meulaboh,ID,4.14,96.13,87.15,64,48,4.27
446,Mariental,NA,-24.63,17.97,75.33,28,64,7.94
447,Westport,US,41.14,-73.36,34.09,69,1,3.36
448,Marquette,US,46.53,-87.63,36.34,86,55,7.52
449,Cajati,BR,-24.74,-48.12,61.43,91,51,2.17
450,Synya,RU,65.37,58.04,34.02,90,100,2.51
451,Great Falls,US,47.5,-111.3,35.42,80,90,6.93
452,Abapó,BO,-18.83,-63.47,56.95,46,0,3.4
453,Novopetrovskoye,RU,55.99,36.47,36.79,86,90,6.71
454,Broken Hill,AU,-31.95,141.43,71.6,30,3,10.29
455,Garissa,KE,-0.45,39.64,82.42,62,100,16.11
456,Wanning,CN,18.8,110.4,84.11,68,15,12.62
457,Trojes,AL,41.76,19.96,53.6,87,40,2.24
458,Pangody,RU,65.85,74.49,38.55,95,100,20.85
459,Azul,AR,-36.78,-59.86,57.99,82,36,9.75
460,Zhigansk,RU,66.77,123.37,16.84,92,45,11.18
461,Pitimbu,BR,-7.47,-34.81,77.0,94,20,3.36
462,Springdale,US,36.19,-94.13,55.13,54,90,3.36
463,Shingū,JP,33.73,135.98,64.4,52,75,13.87
464,Chamba,IN,32.57,76.13,72.01,24,4,6.46
465,Asopós,GR,36.73,22.87,62.6,77,65,0.16
466,Massakory,TD,13.0,15.73,82.62,13,64,12.3
467,Kitui,KE,-1.37,38.01,72.27,56,100,3.78
468,Ellisras,ZA,-23.66,27.74,66.88,58,3,9.98
469,Erode,IN,11.35,77.73,95.85,34,17,5.77
470,Aras,ES,42.56,-2.36,52.27,100,90,2.24
471,Starkville,US,33.45,-88.82,51.87,87,1,3.58
472,Pacific Grove,US,36.62,-121.92,50.34,81,1,3.36
473,Tanout,NE,14.97,8.89,78.28,14,4,7.94
474,Khani,GE,41.96,42.96,55.4,87,58,1.12
475,Vila Franca do Campo,PT,37.72,-25.43,60.8,93,75,8.05
476,Qom,IR,34.64,50.88,68.56,30,99,1.95
477,Taoudenni,ML,22.68,-3.98,76.66,55,91,7.47
478,Ostrovnoy,RU,68.05,39.51,32.65,96,100,17.11
479,Gravelbourg,CA,49.88,-106.55,30.45,68,25,0.98
480,Asău,RO,46.43,26.4,47.59,52,94,6.93
481,Khovu-Aksy,RU,51.13,93.6,48.7,27,0,3.38
482,Liverpool,GB,53.41,-2.98,44.55,87,68,9.17
483,Kirakira,SB,-10.45,161.92,82.29,76,99,2.95
484,Constitución,CL,-35.33,-72.42,56.59,83,10,12.01
485,Pisco,PE,-13.7,-76.22,68.45,82,1,3.36
486,Ryki,PL,51.63,21.93,43.99,54,30,6.69
487,Tawao,MY,4.25,117.89,78.8,94,40,4.7
488,Byron Bay,AU,-28.65,153.62,75.07,73,35,9.17
489,Phuket,TH,8.0,98.25,89.6,62,20,8.05
490,Nizhnevartovsk,RU,60.93,76.55,57.2,44,96,13.42
491,Qui Nhon,VN,13.77,109.23,88.79,57,46,10.0
492,Lata,PT,40.16,-8.33,50.95,97,27,2.91
493,Japura,ID,-0.32,102.35,93.04,48,14,4.05
494,Pleasanton,US,37.66,-121.87,50.65,81,1,5.82
495,Ilhabela,BR,-23.78,-45.36,71.73,76,90,5.73
496,Korla,CN,41.76,86.15,65.53,23,97,5.32
497,Hammerfest,NO,70.66,23.68,37.4,93,98,26.4
498,Deer Lake,CA,49.17,-57.43,14.0,92,5,3.36
499,Redding,US,40.59,-122.39,58.93,55,40,13.87
500,Formosa,AR,-26.18,-58.18,57.2,93,0,2.24
501,Saint-Augustin,CA,51.23,-58.65,22.73,94,4,8.32
502,Muros,ES,42.78,-9.06,46.13,95,0,3.42
503,La Rioja,ES,42.25,-2.5,53.6,100,90,2.24
504,Gucheng,CN,35.91,111.32,70.43,23,6,7.78
505,Lerwick,GB,60.15,-1.15,40.1,87,0,6.93
506,Goderich,CA,43.75,-81.72,44.53,66,58,22.66
507,Morgan City,US,29.7,-91.21,71.19,94,1,11.41
508,Lagos,NG,6.58,3.75,80.6,94,40,8.61
509,Kumul,CN,42.8,93.45,70.83,15,75,7.11
510,Bonthe,SL,7.53,-12.51,78.51,80,100,4.12
511,Darnah,LY,32.77,22.64,60.57,62,13,8.3
512,Airai,TL,-8.93,125.41,72.03,49,37,4.38
513,Broome,US,42.25,-75.83,29.35,79,10,1.01
514,Ciudad Bolivar,VE,8.12,-63.55,78.28,67,55,9.86
515,Cuamba,MZ,-14.8,36.54,72.18,65,29,7.99
516,Luanda,AO,-8.84,13.23,77.0,94,75,3.36
517,Moranbah,AU,-22.0,148.05,90.09,31,32,9.31
518,Tocopilla,CL,-22.09,-70.2,68.11,42,16,2.1
519,Thinadhoo,MV,0.53,72.93,84.43,75,82,11.05
520,Grindavik,IS,63.84,-22.43,41.36,100,90,6.93
521,Skibbereen,IE,51.55,-9.27,48.2,100,90,10.29
522,Gannan,CN,47.91,123.5,56.61,49,100,17.2
523,Tevaitoa,PF,-16.78,-151.5,84.02,74,63,11.56
524,Pingyin,CN,36.28,116.45,64.0,65,68,7.65
525,Huarmey,PE,-10.07,-78.15,71.58,79,58,5.64
526,Mariel,CU,22.99,-82.75,75.09,94,20,3.36
527,Vicuña,CL,-30.03,-70.71,51.08,100,90,3.36
528,Sāveh,IR,35.02,50.36,67.82,29,81,4.65
529,Linxia Chengguanzhen,CN,35.6,103.21,61.72,18,97,8.52
530,Uribia,CO,11.71,-72.27,79.02,75,13,14.05
531,Mitsamiouli,KM,-11.38,43.28,86.0,62,20,5.82
532,Tongchuanshi,CN,35.08,109.09,69.22,28,5,6.06
533,Shenjiamen,CN,29.96,122.3,60.48,91,100,18.23
534,Guerrero Negro,MX,27.98,-114.06,60.12,77,2,17.56
535,Kuli,RU,42.02,47.24,62.6,67,75,6.93
536,Port Hedland,AU,-20.32,118.57,96.8,39,29,12.75
537,Mareeba,AU,-17.0,145.43,87.58,62,32,5.01
538,Seddon,AU,-37.81,144.89,62.91,42,90,8.05
539,Shar,KZ,49.59,81.05,63.28,29,7,6.51
540,Port Macquarie,AU,-31.43,152.92,70.97,73,8,1.99
541,Berezovyy,RU,51.67,135.7,44.49,53,100,4.56
542,Zyukayka,RU,58.2,54.7,42.55,60,33,9.62
543,Cascavel,BR,-24.96,-53.46,55.58,67,0,6.67
544,Ayan,RU,56.45,138.17,21.24,85,100,5.14
545,Mutoko,ZW,-17.4,32.23,66.38,53,16,4.88
546,Chicama,PE,-7.84,-79.15,72.75,74,50,5.61
547,High River,CA,50.58,-113.87,30.0,85,53,4.41
548,Flin Flon,CA,54.77,-101.86,16.7,94,83,5.35
549,Lázaro Cárdenas,MX,17.96,-102.2,74.84,85,94,0.16
550,Rantauprapat,ID,2.1,99.83,88.93,63,98,2.48
551,Itacoatiara,BR,-3.14,-58.44,75.2,100,100,2.24
552,Pangnirtung,CA,66.15,-65.71,0.61,82,94,3.94
553,Bozeman,US,45.68,-111.04,36.34,75,90,2.68
554,Manzhouli,CN,49.6,117.43,43.25,38,52,15.88
555,Levice,SK,48.22,18.61,44.6,81,90,1.12
556,Tumsar,IN,21.38,79.73,109.31,12,57,2.1
557,Cotonou,BJ,6.37,2.42,84.2,83,40,10.29
558,Vaitape,PF,-16.52,-151.75,84.07,74,79,11.77
